bait_id,bait_name,bait_type,bait_presentation,fish_location,fish_depth_min,fish_depth_max,combo_id
1,Buzzbait,Buzz,Horizontal,Shallow,4,10,1
2,Ploppers,Topwater,Horizontal,Shallow,0,8,2
3,Topwater-Frog,Topwater,Horizontal,Shallow,0,12,3
4,Flipping-Jig,Jig,Verticle,Shallow,2,10,4
5,Football-Jig,Jig,Verticle,Offshore,6,25,5
6,Swim-Jig,Jig,Horizontal,Shallow,4,10,6
7,Carolina-Rig,Rig,Horizontal,Offshore,6,20,4
8,Creature-Bait,Rig,Verticle,Shallow,2,10,5
9,Swing-Head,Rig,Verticle,Offshore,6,20,5
10,Umbrella-Rig,Rig,Horizontal,Shallow,2,10,8
11,Worm-10in,Rig,Verticle,Offshore,6,25,5
12,Drop-Shot,Finesse,Verticle,Offshore,6,25,9
13,Ned-Rig,Finesse,Verticle,Shallow,1,10,10
14,Neko-Rig,Finesse,Verticle,Shallow,1,10,9
15,Shakey-Head,Finesse,Verticle,Shallow,4,10,10
16,Tube,Finesse,Verticle,Offshore,4,12,11
17,Wacky-Rig,Finesse,Verticle,Shallow,1,10,10
18,Soft-Jerkbait,Jerkbait,Horizontal,Shallow,1,10,9
19,Stick-Worm,Finesse,Verticle,Shallow,2,10,12
20,Finesse-Jig,Finesse,Verticle,Shallow,4,10,13
21,Hair-Jig,Jig,Verticle,Offshore,6,25,14
22,Worm-7in,Rig,Verticle,Shallow,1,10,13
23,Flutter-Spoon,Spoon,Verticle,Offshore,6,20,15
24,Jigging-Spoon,Spoon,Verticle,Offshore,12,30,13
25,Hollow-Body-Swimbait,Swimbait,Horizontal,Offshore,6,25,16
26,Lipless-Crankbait,Crankbait,Horizontal,Shallow,4,8,17
27,Finesse-Swimbait,Finesse,Horizontal,Offshore,6,25,18
28,Deep-Diving-Jerkbait,Jerkbait,Horizontal,Offshore,12,30,24
29,Spinnerbait,Spinnerbait,Horizontal,Shallow,2,10,20
30,Deep-Diving-Crankbait,Crankbait,Horizontal,Offshore,6,25,21
31,Flat-Sided-Crankbait,Crankbait,Horizontal,Shallow,4,10,22
32,Medium-Diving-Crankbait,Crankbait,Horizontal,Offshore,6,25,23
33,Squarebill-Crankbait,Crankbait,Horizontal,Shallow,2,10,24
34,Jerkbait,Jerkbait,Horizontal,Shallow,4,10,24
35,Poppers,Topwater,Horizontal,Shallow,0,8,25
36,Walkers,Topwater,Horizontal,Shallow,0,8,26
